company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
New China Realty Corp,2,3,Mission,531110,2886-2888 Folsom St Apts | New China Realty Corp,"41 Nevada St, San Francisco, 94110","2886 Folsom St, San Francisco | 41 Nevada St, San Francisco"
Nicholson Heritage Group LLC.,2,3,,531110,Nicholson Heritage Group | Nicholson Heritage Group LLC.,"Po Box 885373, San Francisco, 94188","740 Earl St, San Francisco | Innes Ave, San Francisco"
Nor Apartments LLC,2,3,,531110,1835 Noriega St Apts | 1901 Noriega St Apts,"24 Orange Ave, Larkspur, 94939","1835 Noriega St, San Francisco | 1901 Noriega St, Larkspur"
Norcal United Real Estate Partners,2,3,Noe Valley,531210,Corcoran Icon Properties,"1116 S El Camino Real, San Mateo, 94402","2523 California St, San Francisco | 4040 24th St, San Francisco"
Notre Dame Housing Partners Lp,2,3,,531110,Notre Dame Apartments,"615 Grant Ave, San Francisco, 94108","1515 Vallejo St, San Francisco | 1590 Broadway, San Francisco"
O'farrell Properties LLC,2,3,,531110,10 Ada Court | 667-669 O'farrell Street,"Po Box 1611, San Mateo, 94401","10 Ada Ct, San Francisco | O'farrell St, San Francisco"
"Octavia Rsu Associates, L.P.",2,3,,531110,"Octavia Rsu Associates, L.P.","201 Eddy St, San Francisco, 94102","120 Octavia St, San Francisco | 201 Eddy Street, San Francisco"
Ofarrell Associates LLC,2,3,,531110,Ofarrell Associates LLC,"1201 Fulton St, San Francisco, 94117","1201 Fulton St, San Francisco | 851 Ofarrell St, San Francisco"
Olcese Properties,2,3,,531110,Olcese Properties,"646 Alex Way, Encinitas, 92024","57141 Medinah, La Quinta | 646 Alex Way, Encinitas"
On Lok Community Housing Inc,2,3,Nob Hill,531110,On Lok Community Housing Inc,"1333 Bush St, San Francisco, 94109","1000 Montgomery St, San Francisco | 1333 Bush St, San Francisco"
Osa Associates LLC,2,3,Noe Valley,531110,655 Tennessee St Apts | Osa Associates I LLC,"0000 Undeliverable Mail, San Francisco, 99999","4248 23rd St, San Francisco | 655 Tennessee St, San Francisco"
Oxford Management LLC,2,3,,531110,Oxford Sf Condos,"2975 Scott Blvd Ste 200, Santa Clara, 95054","425 1st St #1506, San Francisco | 501 Beale St Unit 15g, San Francisco"
"Paige Francisco Properties, LLC",2,3,,531110,"1050 Francisco Street, San Francisco, Ca 94109 | 1101 Francisco St, San Francisco, Ca 94109","2120 Market St Ste 105, San Francisco, 94114","1050 Francisco St, San Francisco | 1101 Francisco St, San Francisco"
"Pao-Teh Property Inc., C/O Nancy Tan",2,3,Inner Richmond,531110,37 States St Apt | 37 States Street,"4444 Geary Blvd Ste 100, San Francisco, 94118","37 States St, San Francisco | 4444 Geary Blvd Ste 100, San Francisco"
Parkview Terrace Partners Lp,2,3,,531110,Parkview Terrace Partners L.P | Parkview Terrace Partners Lp,"615 Grant Ave, San Francisco, 94108","871 Turk St, San Francisco | 879 Turk St, San Francisco"
Peacock Properties Inc,2,3,,531390,3310 Mission Hoa | Peacock Properties Inc,"601 Van Ness Ave # E3606, San Francisco, 94102","3310 Mission St, San Francisco | 601 Van Ness Ave #E3606, San Francisco"
Penny Lane Real Estate LLC,2,3,,531110,1949 Chestnut | Penny Lane Real Estate LLC,"1690 Filbert St Ste A, San Francisco, 94123","1949 Chestnut St, San Francisco | 1961 Jefferson St, San Francisco"
Proximity Real Estate Corp,2,3,,53,Proximity Real Estate Corp | Proximity Real Estate Corporation,"2063 45th Ave, San Francisco, 94116","2063 45th Ave, San Francisco | 2144 Green St Apt 12, San Francisco"
Quercus Properties LLC,2,3,Haight Ashbury,53,Quercus Properties LLC,"2001 Oak St, San Francisco, 94117","2001 Oak St, San Francisco | 65 Scott St, San Francisco"
"Raymond F. Clark Properties, LLC",2,3,Mission,531110,"3160 16th Street | Raymond F. Clark Properties, LLC","634 Augustine Ln, Lafayette, 94549","2902 Pine St Bldg, San Francisco | 3160 16th St, San Francisco"
"Realty Equities, Inc.",2,3,,531110,3190 Scott Res Condos | Vela Res. Condos,"2347 Lombard St, San Francisco, 94123","2353 Lombard St, San Francisco | 3190 Scott St, San Francisco"
Related California Residential LLC,2,3,,531390,"Goodwill Sf Urban Development, LLC | Related California Construction, LLC | Related California Residential Development Co LLC","18201 Von Karman Ave 900 Ste, Irvine, 92612","44 Montgomery St Ste 1050, San Francisco | 44 Montgomery St Ste 1300, San Francisco"
Rp Associates L P,2,3,,531110,Rp Associates Lp,"201 Eddy St, San Francisco, 94102","1251 Turk St, San Francisco | 201 Eddy St, San Francisco"
Sacardus Properties LLC,2,3,,531110,1030 Washington St | Sacardus Properties LLC,"Po Box 151, San Francisco, 94104","1030 Washington St Apt #2, San Francisco | 1030 Washington St Rm #2, San Francisco"
Sam Boar Group,2,3,,531312,Sam Boar Group LLC,"1431 Noriega St, San Francisco, 94122","1333 Noriega St, San Francisco | 1431 Noriega St, San Francisco"
"Sandy Properties, LLC",2,3,Mission,531110,Nicholas Berte | Sean Parris,"3452 19th St, San Francisco, 94110","3452 19th St, San Francisco | 3454 19th St, San Fransisco"
"Sarcy Associates, LLC",2,3,,531110,"Sarcy Associates, LLC","429 Corbett Ave Ste 10, San Francisco, 94114","2200 Larkin St, San Francisco | 429 Corbett Ave, San Francisco"
Sf Bayview Partners Lp,2,3,,531110,Sf Bayview Partners Lp,"1 Blackfield Dr # 416, Tiburon, 94920","2760 Golden Gate Ave, San Francisco | 3053 Turk Blvd, San Francisco"
Shapiro Properties LLC,2,3,,531110,2121 Sacramento Street | 863 Arguello Street,"154 Dorchester Way, San Francisco, 94127","154 Dorchester Way, San Francisco | 2121 Sacramento St, San Francisco"
Smith Apartment Properties LLC,2,3,Inner Richmond,531110,1311 Chestnut St Building | 295 12th Avenue Building,"Po Box 470164, San Francisco, 94147","1311 Chestnut St, San Francisco | 295 12th Ave, San Francisco"
Steiner Partners LLC,2,3,,531110,1245 Hayes Street | 485-495 Connecticut Street & 1532-1542 20th Street,"30 Ravenwood Dr, San Francisco, 94127","1245 Hayes St, San Francisco | 485 Connecticut St, San Francisco"
Sullivan Properties,2,3,Mission,531110,1570-1580 Hayes St LLC | 33 Guerrero St LLC,"2120 Market St 105 Ste, San Francisco, 94114","1570 Hayes St, San Francisco | 33 Guerrero St, San Francisco"
"Sunnydale Parcel Q Housing Partners, Lp",2,3,,531110,"Casala | Sunnydale Parcel Q Housing Partners, L.P.","1491 Sunnydale Ave, San Francisco, 94134","1491 Sunnydale Ave, San Francisco | 18201 Von Karman Ave Ste 900, Irvine"
Sunquest Properties Inc.,2,3,,531390,"Sunquest Properties, Inc.","150 Executive Park Blvd Ste 4800, San Francisco, 94134","150 Executive Park Blvd Ste 4800, San Francisco | Bayshore Blvd & Sunnydale Ave"
Terminal Plaza Associates,2,3,,531110,Terminal Plaza Associates | Terminal Pz - 2106 Jackson Apt,"175 Chestnut St, San Francisco, 94133","175 Chestnut St, San Francisco | 2106 Jackson St, San Francisco"
The 1835 Franklin Street Group,2,3,,531110,1835 Franklin Street Group The | 430 Bayshore LLC,"430 Bay Shore Blvd, San Francisco, 94124","1835 Franklin St, San Francisco | 430 Bay Shore Blvd, San Francisco"
"The Eddy Apartments, LLC",2,3,,531110,"The Eddy Apartments, LLC","2960 Van Ness Ave C Ste, San Francisco, 94109","1717 Powell St 300, San Franscisco | 555 Eddy St, San Francisco"
The Northwestern Mutual Life Insurance Company,2,3,,53,Jasper | Nm-Jasper LLC,"0000 Undeliverable Mail, San Francisco, 99999","45 Lansing St, San Francisco | 514 Harrison St, San Francisco"
"Theseus Group, Inc.",2,3,Noe Valley,531210,Power Law Property Management | Theseus Real Estate,"292 30th St 15 Apt, San Francisco, 94131","292 30th St Apt 15, San Francisco | 292 30th St, San Francisco"
"Three Rivers Real Estate And Development, LLC.",2,3,Outer Richmond,"53, 531110",Three Rivers Real Estate And Development,"Po Box 22067, San Francisco, 94122","500 36th Ave, San Francisco | 885 25th Ave, San Francisco"
Tiger Partners LLC,2,3,Haight Ashbury,531110,Tiger Partners LLC,"5320 Venus Dr, Fairfield, 94534","1012 Masonic Ave, San Francisco | 1106 Plymouth Ave, San Francisco"
Tomkat Real Estate LLC,2,3,,531110,Tomkat Real Estate LLC,"1690 Filbert St Ste A, San Francisco, 94123","2935 Van Ness Ave, San Francisco | 3035 Webster St, San Francisco"
Toy Real Estate Investment Company I LLC,2,3,Inner Richmond,531110,2120 Clement Street | 520 8th Ave Apartments,"950 Stockton St Ste 398, San Francisco, 94108","520 8th Ave, San Francisco | 950 Stockton St #398, San Francisco"
Treat Property LLC,2,3,Mission,53,Treat Property LLC,"466 Green St 302 Ste, San Francisco, 94133","3450 Sacramento St 722, San Francisco | 500 Treat Ave, San Francisco"
Turk 500 Associates Lp,2,3,,531110,Turk 500 Associates L.P. | Turk 500 Associates Lp,"201 Eddy St, San Francisco, 94102","201 Eddy St, San Francisco | 555 Larkin St, San Francisco"
United Dominion Realty Lp,2,3,,531110,Edgewater | United Dominion Realty Lp,"1745 Shea Center Dr Ste 200, Highlands Ranch, 80129","1745 Shea Center Dr Ste 200, Highlands Ranch | 355 Berry St, San Francisco"
"Upper Management, LLC",2,3,Mission,531110,"Upper Management, LLC","2989 Mission St, San Francisco, 94110","2965 Mission St St, San Francisco | 2967 Mission St, San Francisco"
Vannucci Property LLC,2,3,,531110,1722 Irving Street | Vannucci Property LLC,"2586 19th Ave, San Francisco, 94116","1720 - 17 Irving St, San Francisco | 2586 19th Avenue Ave, San Francisco"
Victoria Associates #2,2,3,,531110,2860 California Apts | 320-322b Chestnut St Apts,"Po Box 13059, Oakland, 94661","2860 California St, San Francisco | 320 Chestnut St, San Francisco"
Vision Financial Group Inc,2,3,,531210,Jodi Mortgage | Jodi Realty | Vision Financial Group Inc,"2131 19th Ave, San Francisco, 94116","2131 19th Ave, San Francisco | 633 Taraval St #101, San Francisco"
Western Residential Inc,2,3,,531390,399 Fremont | Western Residential Inc,"1745 Shea Center Dr Ste 200, Highlands Ranch, 80129","1745 Shea Center Dr Ste 200, Highlands Ranch | 399 Fremont St, San Francisco"
Woodmont Real Estate Servcs Lp,2,3,,531311,Woodmont Om LLC | Woodmont Real Estate Servcs Lp,"1050 Ralston Ave Ste 0, Belmont, 94002","1050 Ralston Ave Ste, Belmont | 680 Indiana St, San Francisco"
Y.A. Salma & Company,2,3,,531210,Salma & Company,"3048 Fillmore St, San Francisco, 94123","1958 Union St, San Francisco | 3048 Fillmore St, San Francisco"
10th Avenue Apartments Lp,1,2,,53,1332 10th Ave Apts,"1150 Union St 303 Unit, San Francisco, 94109","1332 10th Ave, San Francisco"
11th Avenue Apartments Lp,1,2,,53,1247 11th Ave Apts,"1150 Union St 303 Ste, San Francisco, 94109","1247 11th Ave, San Francisco"
14th Ave Partners Lp,1,2,Nob Hill,531110,765 14th Ave Apartments,"1155 Jones St, San Francisco, 94109","1155 Jones St., San Francisco"
17th Street Associates LLC,1,2,,531110,17th Street Associates LLC,"1717 17th St Ste 105, San Francisco, 94103","1531 Vancouver Ave, Hillsborough"
21st Avenue Properties LLC,1,2,Outer Richmond,531110,21st Avenue Properties LLC,"2 Dionne Ct, Belmont, 94002","493 - 49 21st Ave, San Francisco"
3d Property LLC,1,2,Noe Valley,531110,3d Property LLC,"1651 Church St, San Francisco, 94131","1651 Church St, San Francisco"
40th/Geary Partners Lp,1,2,Outer Richmond,531110,40th/Geary Partners Lp,"940 Emmett Ave Ste 200, Belmont, 94002","7555 Geary Blvd, San Francisco"
4g1b Properties I LLC,1,2,Outer Richmond,531110,615 25th Ave Apts,"5840 Geary Blvd, San Francisco, 94121","615 25th Ave, San Francisco"
4hugo Rentals LLC,1,2,,531110,4hugo Rentals LLC,"1252 4th Ave, San Francisco, 94122","1252 4th Ave, San Francisco"
5c Properties LLC,1,2,,531110,5c Properties LLC,"Po Box 885373, San Francisco, 94188","650 Masonic Ave, San Francisco"
"5th And Howard Associates, L.P.",1,2,,531110,"5th And Howard Associates, L.P.","201 Eddy St, San Francisco, 94102","921 Howard St, San Francisco"
700/710 Lombard Apts,1,2,,53,700/710 Lombard Apts,"704 Lombard St, San Francisco, 94133","700 Lombard St, San Francisco"
7x7 Real Estate Inc,1,2,,531110,7x7 Real Estate Inc,"75 Williar Ave, San Francisco, 94112","75 Williar Ave, San Francisco"
849a-853b Fulton Street Apts.,1,2,,531110,849a-853b Fulton Street Apts.,"125 Vicksburg St Bldg, San Francisco, 94114","849 A - 853b Fulton St, San Francisco"
Aabl Partners,1,2,Mission,53,Aabl Partners,"375 Moncada Way, San Francisco, 94127","87 Virgil St, San Francisco"
"Ab Management, Inc",1,2,Outer Richmond,531390,"Ab Management, Inc","5108 Geary Blvd, San Francisco, 94118","5108 Geary Blvd, San Francisco"
"Abba Homes, LLC",1,2,,53,"Abba Homes, LLC","733 Santiago St, San Francisco, 94116","733 Santiago St, San Francisco"
Access To Housing Inc,1,2,,531110,Access To Housing Inc,"1600 Broadway 2000 Ste, Denver, 80202","1360 Mission Ste 300, San Francisco"
Action Property Management,1,2,,531311,San Francisco Satellite Office,"320 Commerce Ste 200, Irvine, 92602","655 Montgomery St Ste 1190, San Francisco"
"Adh Properties, LLC",1,2,Noe Valley,531110,"Adh Properties, LLC","7122 Po Box, Incline Village, 89450","901 Castro St, San Francisco"
Adijt Group,1,2,,531110,Trust Real Estate / Trust Properties / Realty World Advance Group,"109 El Camino Real, San Bruno, 94066","109 El Camino Real, San Bruno"
Advent Properties Inc,1,2,,531210,Advent Properties Inc,"1600 Macarthur Blvd, Oakland, 94602","315 Montgomery St Fl 10, San Francisco"
Aetna Apartments LLC,1,2,Nob Hill,531110,Aetna Apartments LLC,"1 Blackfield Dr # 416, Tiburon, 94920","1410 Taylor St, San Francisco"
Afi Real Estate,1,2,,531210,Afi Real Estate,"200 Brannan St Ste 100a, San Francisco, 94107","200 Brannan St Ste 100a, San Francisco"
Ah Housing Preservation Lp,1,2,,531110,Ah Housing Preservation Lp,"30 Hudson Yards, New York, 10001","6 Baldwin Ct, San Francisco"
Akme Properties LLC,1,2,,53,Akme Properties LLC,"Po Box 4363, Incline Village, 89450","975 Carolina St, San Francisco"
Alabama St Housing Associates,1,2,Mission,531110,Alabama St Housing Associates,"201 Eddy St, San Francisco, 94102","2949 18th St, San Francisco"
Alabama St Senior Housing Asso,1,2,Mission,531110,Alabama St Senior Housing Asso,"201 Eddy St, San Francisco, 94102","2949 18th St, San Francisco"
Alamo Apartments Lp,1,2,Mission,531110,Alamo Apartments Lp,"1717 Powell St Ste 300, San Francisco, 94133","200 Guerrero St, San Francisco"
Alamo Square Apartments,1,2,,531110,Alamo Square Apartments,"49 Park Rd, Burlingame, 94010","1200 Fulton St, San Francisco"
"Alan Morcos Real Estate, Inc.",1,2,,531210,"Alan Morcos Real Estate, Inc.","858 Church St, San Francisco, 94114","858 Church St, San Francisco"
"Alex Sagues Real Estate, Inc.",1,2,,531210,"Alex Sagues Real Estate, Inc.","2249 Bay St, San Francisco, 94123","2249 Bay St, San Francisco"
Alhambra Associates LLC,1,2,,531110,Alhambra Associates LLC,"1717 Powell St Ste 300, San Francisco, 94133","770 California St, San Francisco"
Align Properties LLC,1,2,Mission,531210,Oliver Burgelman Real Estate,"2501 Mission St, San Francisco, 94110","2501 Mission St, San Francisco"
"Align Real Estate, LLC",1,2,,531390,Align Real Estate,"251 Post St Ste 200, San Francisco, 94108","251 Post St Ste 200, San Francisco"
All Bay Property Inc,1,2,Outer Richmond,531210,All Bay Property Inc | Maxima Mortgage,"615 43rd Ave, San Francisco, 94121","615 43rd Ave, San Francisco"
Alto Homes LLC,1,2,,531110,Alto Homes LLC,"0000 Undeliverable Mail, San Francisco, 99999","1930 Fulton St, San Francisco"
Alvin Woodside Partners,1,2,,531110,Woodside Apartments,"477 18th Ave, San Francisco, 94121","1 Daniel Burnham Court 412, San Francisco"
Amanda Jones Real Estate Inc,1,2,,531210,Amanda Jones Real Estate Inc,"1958 Bush St, San Francisco, 94115","1958 Bush St, San Francisco"
"Ambassador 9% Associates, L.P.",1,2,,531110,"Ambassador Nine Percent, L.P.","201 Eddy St, San Francisco, 94102","201 Eddy St, San Francisco"
"Ambassador Sro Associates, L.P.",1,2,,531110,Ambassador,"201 Eddy St, San Francisco, 94102","55 Mason St, San Francisco"
Amer Realty & Construction Inc,1,2,,531110,Amer Realty & Construction Inc,"1489 Webster St Ste 218, San Francisco, 94115","1489 Webster St Ste 218, San Francisco"
Americal Realty Inc,1,2,Nob Hill,531210,"Americal Realty, Inc.","Po Box P O Box 16527, San Francisco, 94116","1526 California St, San Francisco"
American Property Solutions Ll,1,2,,531110,American Property Solutions Ll,"3739 Balboa St Ste 220, San Francisco, 94121","5739 Balboa St 220, San Francisco"
Amore Real Estate Inc,1,2,,531210,Amore Real Estate Inc,"3001 Laguna St, San Francisco, 94123","3001 Laguna St, San Francisco"
Anchor Property Management LLC,1,2,,531390,Anchor Property Management LLC,"2351 Powell St # Manageme, San Francisco, 94133","1450 Buckingham Way, Hillsborough"
Anchor Realty Inc.,1,2,,531311,Anchor Realty | Anchor Realty Inc,"2120 Market St 105 Ste, San Francisco, 94114","2120 Market St Ste 105, San Francisco"
Ans Property Company LLC,1,2,,531110,2528-34 Washington St Apts,"Po Box 472229, San Francisco, 94147","2528 Washington St, San Francisco"
Anvil Property Mangement Corporation,1,2,,531110,Anvil Property Mangement Corporation,"601 Van Ness Ave Ste 2060, San Francisco, 94102","601 Van Ness Ave Ste 2060, San Francisco"
Anza Del Rey Apartments,1,2,,531110,Anza Del Rey Apartments,"524 Anza St Apt 302, San Francisco, 94118","524 Anza Street St Apt 302, San Francisco"
Anza Street Apartments,1,2,Outer Richmond,531110,Anza Street Apartments,"3823 1/2 Anza St, San Francisco, 94121","3823  Anza St, San Francisco"
Ao Realty Corp,1,2,Mission,531311,Ao Realty Corp,"1760 Mission St, San Francisco, 94103","1760 Mission St, San Francisco"
Aperture Group LLC,1,2,,531311,Aperture Group LLC,"1 Letterman Dr Bldg A4300, San Francisco, 94129","1 Letterman Dr Ste A, San Francisco"
Ascend Group Properties Inc,1,2,Mission,531210,Ascend Group | Ascend Group Properties | Ascend Group Properties Inc,"2179 21st Ave, San Francisco, 94116","1144 Alabama St, San Francisco"
"Atlas Property Group, Inc.",1,2,,531311,"Atlas Property Group, Inc.","5051 Mission St, San Francisco, 94112","5051 Mission St, San Francisco"
