company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Nichelson Heritage Group LLC,1,2,,531110,"Nicholson Heritage Group, LLC","Po Box 885373, San Francisco, 94188","1445 Eddy St, San Francisco"
Nob Hill Place Apartments,1,2,Nob Hill,531110,Nob Hill Place Apartments,"899 Pine St Office, San Francisco, 94108","1155 Jones St, San Francisco"
Noble Fir Partners LLC,1,2,,531390,Nfp Property Management,"2310 22nd Ave, San Francisco, 94116","2310 22nd Ave, San Francisco"
Noe St Properties,1,2,,531110,Noe Street Properties,"Po Box 460688, San Francisco, 94146","695 Noe St, San Francisco"
North Beach Rentals LLC,1,2,,531110,North Beach Rentals LLC,"2341 Clement St, San Francisco, 94121","75 Fresno St, San Francisco"
North Beach Retail Associates,1,2,,531312,North Beach Retail Associates,"1388 Sutter St Fl 11, San Francisco, 94109","455 Bay St, San Francisco"
Northbridge Partners LLC,1,2,,531390,Northbridge Partners LLC,"401 Edgewater Pl Ste 430, Wakefield, 01880","401 Edgewater Pl Ste 265, Wakefield"
Northern Properties Inc,1,2,,531390,Northern Properties Inc,"155 Sansome St Ste 850, San Francisco, 94104","155 Sansome St Ste 850, San Francisco"
Northside Apartments Inc,1,2,,531110,Northside Apartments,"1808 Vallejo St 6 Apt, San Francisco, 94123","1808 Vallejo St Apt 6, San Francisco"
Norwich Group LLC,1,2,,531110,Norwich Group LLC,"77 Van Ness Ave Apt 302, San Francisco, 94102","77 Van Ness Ave Apt 302, San Francisco"
Ntg Sacramento Properties LLC,1,2,,53,Ntg Sacramento Properties LLC,"1279 Fitzgerald Ave, San Francisco, 94124","1279 Fitzgerald Ave, San Francisco"
O & O Property Management LLC,1,2,,531312,O & O Property Management LLC,"3225 Octavia St Apt 4, San Francisco, 94123","3225 Octavia St Apt 4, San Francisco"
"O'farrell Senior Housing, Inc.",1,2,,531110,None,"201 Eddy St, San Francisco, 94102","201 Eddy St, San Francisco"
O'farrell Street Properties Ll,1,2,,531110,O'farrell Street Properties Ll,"260 22nd Ave, San Francisco, 94121","725 Ofarrell St, San Francisco"
"O'farrell Towers Associates, L.P.",1,2,,531110,O'farrell Towers,"201 Eddy St, San Francisco, 94102","477 O'farrell St, San Francisco"
O'shea Property,1,2,Inner Richmond,531110,3750 Geary Blvd,"3450 Sacramento St Ste 215, San Francisco, 94118","3750 Geary Blvd, San Francisco"
